subexp,condition,cond_question,cond_answer,num,kid,group,context,request,question,answer,continuation,audio,q_start_ms,q_end_ms,a_start_ms,a_end_ms,total_ms,c_start_ms,audio_nocont,total_ms_nocont
or,or-wh-no,wh,no,6,Pietro,b,"C'erano tre gioielli sul comodino: una collana, un braccialetto e un anello.","Pietro, che aveva intenzione di nascondere alcuni dei gioielli, riceverà una ricompensa se ha nascosto la collana.",Ma quindi Pietro quali gioielli ha nascosto?,"Ha nascosto la collana o il braccialetto, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-6.mp3,0,2538,3288,7103,7103,5677,or-wh-no-6-nocont.mp3,5577
or,or-wh-wh,wh,wh,6,Pietro,a,"C'erano tre gioielli sul comodino: una collana, un braccialetto e un anello.","Pietro, che aveva intenzione di nascondere alcuni dei gioielli, riceverà una ricompensa se ha nascosto la collana.",Ma quindi Pietro quali gioielli ha nascosto?,"Ha nascosto la collana o il braccialetto, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-6.mp3,0,2538,3288,7235,7235,5809,or-wh-wh-6-nocont.mp3,5709
or,or-no-no,no,no,10,Nico,d,"C'erano tre cani al parco: un barboncino, un bassotto e un chihuahua.","Nico, che aveva intenzione di tormentare alcuni dei cani, riceverà una ricompensa se ha tormentato il barboncino o il bassotto.","Ma quindi Nico ha tormentato il barboncino o il bassotto, oppure no?","Sì, ha tormentato il barboncino o il bassotto, ma non ricordo quale.",ma non ricordo quale.,or-no-no-10.mp3,0,4122,4872,9457,9457,8031,or-no-no-10-nocont.mp3,7931
or,or-no-wh,no,wh,10,Nico,c,"C'erano tre cani al parco: un barboncino, un bassotto e un chihuahua.","Nico, che aveva intenzione di tormentare alcuni dei cani, riceverà una ricompensa se ha tormentato il barboncino o il bassotto.","Ma quindi Nico ha tormentato il barboncino o il bassotto, oppure no?","Sì, ha tormentato il barboncino o il bassotto, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-10.mp3,0,4122,4872,9686,9686,8260,or-no-wh-10-nocont.mp3,8160
or,or-wh-no,wh,no,10,Nico,b,"C'erano tre cani al parco: un barboncino, un bassotto e un chihuahua.","Nico, che aveva intenzione di tormentare alcuni dei cani, riceverà una ricompensa se ha tormentato il barboncino.",Ma quindi Nico quali cani ha tormentato?,"Ha tormentato il barboncino o il bassotto, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-10.mp3,0,2426,3176,7250,7250,5824,or-wh-no-10-nocont.mp3,5724
or,or-wh-wh,wh,wh,10,Nico,a,"C'erano tre cani al parco: un barboncino, un bassotto e un chihuahua.","Nico, che aveva intenzione di tormentare alcuni dei cani, riceverà una ricompensa se ha tormentato il barboncino.",Ma quindi Nico quali cani ha tormentato?,"Ha tormentato il barboncino o il bassotto, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-10.mp3,0,2426,3176,7479,7479,6053,or-wh-wh-10-nocont.mp3,5953
or,or-no-no,no,no,11,Luna,c,"C'erano tre sedili in salotto: una poltrona, un divano e una sedia.","Luna, che aveva intenzione di imbrattare alcuni dei sedili, riceverà una ricompensa se ha imbrattato la poltrona o il divano.","Ma quindi Luna ha imbrattato la poltrona o il divano, oppure no?","Sì, ha imbrattato la poltrona o il divano, ma non ricordo quale.",ma non ricordo quale.,or-no-no-11.mp3,0,3660,4410,8686,8686,7260,or-no-no-11-nocont.mp3,7160
or,or-no-wh,no,wh,11,Luna,b,"C'erano tre sedili in salotto: una poltrona, un divano e una sedia.","Luna, che aveva intenzione di imbrattare alcuni dei sedili, riceverà una ricompensa se ha imbrattato la poltrona o il divano.","Ma quindi Luna ha imbrattato la poltrona o il divano, oppure no?","Sì, ha imbrattato la poltrona o il divano, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-11.mp3,0,3660,4410,8661,8661,7235,or-no-wh-11-nocont.mp3,7135
or,or-wh-no,wh,no,11,Luna,a,"C'erano tre sedili in salotto: una poltrona, un divano e una sedia.","Luna, che aveva intenzione di imbrattare alcuni dei sedili, riceverà una ricompensa se ha imbrattato la poltrona.",Ma quindi Luna quali sedili ha imbrattato?,"Ha imbrattato la poltrona o il divano, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-11.mp3,0,2365,3115,6880,6880,5454,or-wh-no-11-nocont.mp3,5354
or,or-wh-wh,wh,wh,11,Luna,d,"C'erano tre sedili in salotto: una poltrona, un divano e una sedia.","Luna, che aveva intenzione di imbrattare alcuni dei sedili, riceverà una ricompensa se ha imbrattato la poltrona.",Ma quindi Luna quali sedili ha imbrattato?,"Ha imbrattato la poltrona o il divano, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-11.mp3,0,2365,3115,6855,6855,5429,or-wh-wh-11-nocont.mp3,5329
or,or-no-no,no,no,12,Pietro,c,"C'erano tre dispositivi sul tavolo: un cellulare, un tablet e un orologio.","Pietro, che aveva intenzione di nascondere alcuni dei dispositivi, riceverà una ricompensa se ha nascosto il cellulare o il tablet.","Ma quindi Pietro ha nascosto il cellulare o il tablet, oppure no?","Sì, ha nascosto il cellulare o il tablet, ma non ricordo quale.",ma non ricordo quale.,or-no-no-12.mp3,0,3918,4668,9085,9085,7659,or-no-no-12-nocont.mp3,7559
or,or-no-wh,no,wh,12,Pietro,b,"C'erano tre dispositivi sul tavolo: un cellulare, un tablet e un orologio.","Pietro, che aveva intenzione di nascondere alcuni dei dispositivi, riceverà una ricompensa se ha nascosto il cellulare o il tablet.","Ma quindi Pietro ha nascosto il cellulare o il tablet, oppure no?","Sì, ha nascosto il cellulare o il tablet, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-12.mp3,0,3918,4668,9205,9205,7779,or-no-wh-12-nocont.mp3,7679
or,or-wh-no,wh,no,12,Pietro,a,"C'erano tre dispositivi sul tavolo: un cellulare, un tablet e un orologio.","Pietro, che aveva intenzione di nascondere alcuni dei dispositivi, riceverà una ricompensa se ha nascosto il cellulare.",Ma quindi Pietro quali dispositivi ha nascosto?,"Ha nascosto il cellulare o il tablet, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-12.mp3,0,2852,3602,7508,7508,6082,or-wh-no-12-nocont.mp3,5982
or,or-wh-wh,wh,wh,12,Pietro,d,"C'erano tre dispositivi sul tavolo: un cellulare, un tablet e un orologio.","Pietro, che aveva intenzione di nascondere alcuni dei dispositivi, riceverà una ricompensa se ha nascosto il cellulare.",Ma quindi Pietro quali dispositivi ha nascosto?,"Ha nascosto il cellulare o il tablet, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-12.mp3,0,2852,3602,7628,7628,6202,or-wh-wh-12-nocont.mp3,6102
or,or-no-no,no,no,13,Marta,c,"C'erano tre indumenti sul letto: un berretto, una felpa e un guanto.","Marta, che aveva intenzione di rubare alcuni degli indumenti, riceverà una ricompensa se ha rubato il berretto o la felpa.","Ma quindi Marta ha rubato il berretto o la felpa, oppure no?","Sì, ha rubato il berretto o la felpa, ma non ricordo quale.",ma non ricordo quale.,or-no-no-13.mp3,0,3678,4428,8511,8511,7085,or-no-no-13-nocont.mp3,6985
or,or-no-wh,no,wh,13,Marta,b,"C'erano tre indumenti sul letto: un berretto, una felpa e un guanto.","Marta, che aveva intenzione di rubare alcuni degli indumenti, riceverà una ricompensa se ha rubato il berretto o la felpa.","Ma quindi Marta ha rubato il berretto o la felpa, oppure no?","Sì, ha rubato il berretto o la felpa, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-13.mp3,0,3678,4428,8678,8678,7252,or-no-wh-13-nocont.mp3,7152
or,or-wh-no,wh,no,13,Marta,a,"C'erano tre indumenti sul letto: un berretto, una felpa e un guanto.","Marta, che aveva intenzione di rubare alcuni degli indumenti, riceverà una ricompensa se ha rubato il berretto.",Ma quindi Marta quali indumenti ha rubato?,"Ha rubato il berretto o la felpa, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-13.mp3,0,2335,3085,6657,6657,5231,or-wh-no-13-nocont.mp3,5131
or,or-wh-wh,wh,wh,13,Marta,d,"C'erano tre indumenti sul letto: un berretto, una felpa e un guanto.","Marta, che aveva intenzione di rubare alcuni degli indumenti, riceverà una ricompensa se ha rubato il berretto.",Ma quindi Marta quali indumenti ha rubato?,"Ha rubato il berretto o la felpa, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-13.mp3,0,2335,3085,6824,6824,5398,or-wh-wh-13-nocont.mp3,5298
or,or-no-no,no,no,14,Albi,d,"C'erano tre avanzi in frigorifero: un involtino, un raviolo e un pancake.","Albi, che aveva intenzione di mangiare alcuni degli avanzi, riceverà una ricompensa se ha mangiato l'involtino o il raviolo.","Ma quindi Albi ha mangiato l'involtino o il raviolo, oppure no?","Sì, ha mangiato l'involtino o il raviolo, ma non ricordo quale.",ma non ricordo quale.,or-no-no-14.mp3,0,3610,4360,8672,8672,7246,or-no-no-14-nocont.mp3,7146
or,or-no-wh,no,wh,14,Albi,c,"C'erano tre avanzi in frigorifero: un involtino, un raviolo e un pancake.","Albi, che aveva intenzione di mangiare alcuni degli avanzi, riceverà una ricompensa se ha mangiato l'involtino o il raviolo.","Ma quindi Albi ha mangiato l'involtino o il raviolo, oppure no?","Sì, ha mangiato l'involtino o il raviolo, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-14.mp3,0,3610,4360,8654,8654,7228,or-no-wh-14-nocont.mp3,7128
or,or-wh-no,wh,no,14,Albi,b,"C'erano tre avanzi in frigorifero: un involtino, un raviolo e un pancake.","Albi, che aveva intenzione di mangiare alcuni degli avanzi, riceverà una ricompensa se ha mangiato l'involtino.",Ma quindi Albi quali avanzi ha mangiato?,"Ha mangiato l'involtino o il raviolo, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-14.mp3,0,2296,3046,6847,6847,5421,or-wh-no-14-nocont.mp3,5321
or,or-wh-wh,wh,wh,14,Albi,a,"C'erano tre avanzi in frigorifero: un involtino, un raviolo e un pancake.","Albi, che aveva intenzione di mangiare alcuni degli avanzi, riceverà una ricompensa se ha mangiato l'involtino.",Ma quindi Albi quali avanzi ha mangiato?,"Ha mangiato l'involtino o il raviolo, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-14.mp3,0,2296,3046,6829,6829,5403,or-wh-wh-14-nocont.mp3,5303
or,or-no-no,no,no,15,Eva,d,"C'erano tre recipienti in cucina: un vasetto, una brocca e una teiera.","Eva, che aveva intenzione di rompere alcuni dei recipienti, riceverà una ricompensa se ha rotto il vasetto o la brocca.","Ma quindi Eva ha rotto il vasetto o la brocca, oppure no?","Sì, ha rotto il vasetto o la brocca, ma non ricordo quale.",ma non ricordo quale.,or-no-no-15.mp3,0,3414,4164,8259,8259,6833,or-no-no-15-nocont.mp3,6733
or,or-no-wh,no,wh,15,Eva,c,"C'erano tre recipienti in cucina: un vasetto, una brocca e una teiera.","Eva, che aveva intenzione di rompere alcuni dei recipienti, riceverà una ricompensa se ha rotto il vasetto o la brocca.","Ma quindi Eva ha rotto il vasetto o la brocca, oppure no?","Sì, ha rotto il vasetto o la brocca, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-15.mp3,0,3414,4164,8208,8208,6782,or-no-wh-15-nocont.mp3,6682
or,or-wh-no,wh,no,15,Eva,b,"C'erano tre recipienti in cucina: un vasetto, una brocca e una teiera.","Eva, che aveva intenzione di rompere alcuni dei recipienti, riceverà una ricompensa se ha rotto il vasetto.",Ma quindi Eva quali recipienti ha rotto?,"Ha rotto il vasetto o la brocca, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-15.mp3,0,2419,3169,6753,6753,5327,or-wh-no-15-nocont.mp3,5227
or,or-wh-wh,wh,wh,15,Eva,a,"C'erano tre recipienti in cucina: un vasetto, una brocca e una teiera.","Eva, che aveva intenzione di rompere alcuni dei recipienti, riceverà una ricompensa se ha rotto il vasetto.",Ma quindi Eva quali recipienti ha rotto?,"Ha rotto il vasetto o la brocca, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-15.mp3,0,2419,3169,6702,6702,5276,or-wh-wh-15-nocont.mp3,5176
or,or-no-no,no,no,16,Nico,c,"C'erano tre insetti in terrazzo: un maggiolino, una coccinella e una farfalla.","Nico, che aveva intenzione di catturare alcuni degli insetti, riceverà una ricompensa se ha catturato il maggiolino o la coccinella.","Ma quindi Nico ha catturato il maggiolino o la coccinella, oppure no?","Sì, ha catturato il maggiolino o la coccinella, ma non ricordo quale.",ma non ricordo quale.,or-no-no-16.mp3,0,3897,4647,9097,9097,7671,or-no-no-16-nocont.mp3,7571
or,or-no-wh,no,wh,16,Nico,b,"C'erano tre insetti in terrazzo: un maggiolino, una coccinella e una farfalla.","Nico, che aveva intenzione di catturare alcuni degli insetti, riceverà una ricompensa se ha catturato il maggiolino o la coccinella.","Ma quindi Nico ha catturato il maggiolino o la coccinella, oppure no?","Sì, ha catturato il maggiolino o la coccinella, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-16.mp3,0,3897,4647,9333,9333,7907,or-no-wh-16-nocont.mp3,7807
or,or-wh-no,wh,no,16,Nico,a,"C'erano tre insetti in terrazzo: un maggiolino, una coccinella e una farfalla.","Nico, che aveva intenzione di catturare alcuni degli insetti, riceverà una ricompensa se ha catturato il maggiolino.",Ma quindi Nico quali insetti ha catturato?,"Ha catturato il maggiolino o la coccinella, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-16.mp3,0,2290,3040,6979,6979,5553,or-wh-no-16-nocont.mp3,5453
or,or-wh-wh,wh,wh,16,Nico,d,"C'erano tre insetti in terrazzo: un maggiolino, una coccinella e una farfalla.","Nico, che aveva intenzione di catturare alcuni degli insetti, riceverà una ricompensa se ha catturato il maggiolino.",Ma quindi Nico quali insetti ha catturato?,"Ha catturato il maggiolino o la coccinella, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-16.mp3,0,2290,3040,7215,7215,5789,or-wh-wh-16-nocont.mp3,5689
or,or-no-no,no,no,17,Luna,b,"C'erano tre teli sul letto: una coperta, un lenzuolo e una tovaglia.","Luna, che aveva intenzione di sporcare alcuni dei teli, riceverà una ricompensa se ha sporcato la coperta o il lenzuolo.","Ma quindi Luna ha sporcato la coperta o il lenzuolo, oppure no?","Sì, ha sporcato la coperta o il lenzuolo, ma non ricordo quale.",ma non ricordo quale.,or-no-no-17.mp3,0,3768,4518,8949,8949,7523,or-no-no-17-nocont.mp3,7423
or,or-no-wh,no,wh,17,Luna,a,"C'erano tre teli sul letto: una coperta, un lenzuolo e una tovaglia.","Luna, che aveva intenzione di sporcare alcuni dei teli, riceverà una ricompensa se ha sporcato la coperta o il lenzuolo.","Ma quindi Luna ha sporcato la coperta o il lenzuolo, oppure no?","Sì, ha sporcato la coperta o il lenzuolo, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-17.mp3,0,3768,4518,8877,8877,7451,or-no-wh-17-nocont.mp3,7351
or,or-wh-no,wh,no,17,Luna,d,"C'erano tre teli sul letto: una coperta, un lenzuolo e una tovaglia.","Luna, che aveva intenzione di sporcare alcuni dei teli, riceverà una ricompensa se ha sporcato la coperta.",Ma quindi Luna quali teli ha sporcato?,"Ha sporcato la coperta o il lenzuolo, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-17.mp3,0,2147,2897,6817,6817,5391,or-wh-no-17-nocont.mp3,5291
or,or-wh-wh,wh,wh,17,Luna,c,"C'erano tre teli sul letto: una coperta, un lenzuolo e una tovaglia.","Luna, che aveva intenzione di sporcare alcuni dei teli, riceverà una ricompensa se ha sporcato la coperta.",Ma quindi Luna quali teli ha sporcato?,"Ha sporcato la coperta o il lenzuolo, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-17.mp3,0,2147,2897,6745,6745,5319,or-wh-wh-17-nocont.mp3,5219
or,or-no-no,no,no,20,Albi,c,"C'erano tre bibite in frigorifero: una coca, un chinotto e una fanta.","Albi, che aveva intenzione di bere alcune delle bibite, riceverà una ricompensa se ha bevuto la coca o il chinotto.","Ma quindi Albi ha bevuto la coca o il chinotto, oppure no?","Sì, ha bevuto la coca o il chinotto, ma non ricordo quale.",ma non ricordo quale.,or-no-no-20.mp3,0,3294,4044,8008,8008,6582,or-no-no-20-nocont.mp3,6482
or,or-no-wh,no,wh,20,Albi,b,"C'erano tre bibite in frigorifero: una coca, un chinotto e una fanta.","Albi, che aveva intenzione di bere alcune delle bibite, riceverà una ricompensa se ha bevuto la coca o il chinotto.","Ma quindi Albi ha bevuto la coca o il chinotto, oppure no?","Sì, ha bevuto la coca o il chinotto, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-20.mp3,0,3294,4044,8100,8100,6674,or-no-wh-20-nocont.mp3,6574
or,or-wh-no,wh,no,20,Albi,a,"C'erano tre bibite in frigorifero: una coca, un chinotto e una fanta.","Albi, che aveva intenzione di bere alcune delle bibite, riceverà una ricompensa se ha bevuto la coca.",Ma quindi Albi quali bibite ha bevuto?,"Ha bevuto la coca o il chinotto, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-20.mp3,0,2168,2918,6371,6371,4945,or-wh-no-20-nocont.mp3,4845
or,or-wh-wh,wh,wh,20,Albi,d,"C'erano tre bibite in frigorifero: una coca, un chinotto e una fanta.","Albi, che aveva intenzione di bere alcune delle bibite, riceverà una ricompensa se ha bevuto la coca.",Ma quindi Albi quali bibite ha bevuto?,"Ha bevuto la coca o il chinotto, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-20.mp3,0,2168,2918,6463,6463,5037,or-wh-wh-20-nocont.mp3,4937
or,or-no-no,no,no,21,Eva,c,"C'erano tre penne nell'astuccio: una biro, una stilografica e una roller.","Eva, che aveva intenzione di rompere alcune delle penne, riceverà una ricompensa se ha rotto la biro o la stilografica.","Ma quindi Eva ha rotto la biro o la stilografica, oppure no?","Sì, ha rotto la biro o la stilografica, ma non ricordo quale.",ma non ricordo quale.,or-no-no-21.mp3,0,3394,4144,8354,8354,6928,or-no-no-21-nocont.mp3,6828
or,or-no-wh,no,wh,21,Eva,b,"C'erano tre penne nell'astuccio: una biro, una stilografica e una roller.","Eva, che aveva intenzione di rompere alcune delle penne, riceverà una ricompensa se ha rotto la biro o la stilografica.","Ma quindi Eva ha rotto la biro o la stilografica, oppure no?","Sì, ha rotto la biro o la stilografica, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-21.mp3,0,3394,4144,8288,8288,6862,or-no-wh-21-nocont.mp3,6762
or,or-wh-no,wh,no,21,Eva,a,"C'erano tre penne nell'astuccio: una biro, una stilografica e una roller.","Eva, che aveva intenzione di rompere alcune delle penne, riceverà una ricompensa se ha rotto la biro.",Ma quindi Eva quali penne ha rotto?,"Ha rotto la biro o la stilografica, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-21.mp3,0,1908,2658,6357,6357,4931,or-wh-no-21-nocont.mp3,4831
or,or-wh-wh,wh,wh,21,Eva,d,"C'erano tre penne nell'astuccio: una biro, una stilografica e una roller.","Eva, che aveva intenzione di rompere alcune delle penne, riceverà una ricompensa se ha rotto la biro.",Ma quindi Eva quali penne ha rotto?,"Ha rotto la biro o la stilografica, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-21.mp3,0,1908,2658,6291,6291,4865,or-wh-wh-21-nocont.mp3,4765
or,or-no-no,no,no,22,Nico,b,"C'erano tre animali nell'aiuola: una rana, una lucertola e un piccione.","Nico, che aveva intenzione di rincorrere alcuni degli animali, riceverà una ricompensa se ha rincorso la rana o la lucertola.","Ma quindi Nico ha rincorso la rana o la lucertola, oppure no?","Sì, ha rincorso la rana o la lucertola, ma non ricordo quale.",ma non ricordo quale.,or-no-no-22.mp3,0,3558,4308,8691,8691,7265,or-no-no-22-nocont.mp3,7165
or,or-no-wh,no,wh,22,Nico,a,"C'erano tre animali nell'aiuola: una rana, una lucertola e un piccione.","Nico, che aveva intenzione di rincorrere alcuni degli animali, riceverà una ricompensa se ha rincorso la rana o la lucertola.","Ma quindi Nico ha rincorso la rana o la lucertola, oppure no?","Sì, ha rincorso la rana o la lucertola, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-22.mp3,0,3558,4308,8648,8648,7222,or-no-wh-22-nocont.mp3,7122
or,or-wh-no,wh,no,22,Nico,d,"C'erano tre animali nell'aiuola: una rana, una lucertola e un piccione.","Nico, che aveva intenzione di rincorrere alcuni degli animali, riceverà una ricompensa se ha rincorso la rana.",Ma quindi Nico quali animali ha rincorso?,"Ha rincorso la rana o la lucertola, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-22.mp3,0,2432,3182,7054,7054,5628,or-wh-no-22-nocont.mp3,5528
or,or-wh-wh,wh,wh,22,Nico,c,"C'erano tre animali nell'aiuola: una rana, una lucertola e un piccione.","Nico, che aveva intenzione di rincorrere alcuni degli animali, riceverà una ricompensa se ha rincorso la rana.",Ma quindi Nico quali animali ha rincorso?,"Ha rincorso la rana o la lucertola, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-22.mp3,0,2432,3182,7011,7011,5585,or-wh-wh-22-nocont.mp3,5485
or,or-no-no,no,no,25,Marta,b,"C'erano tre libri sullo scaffale: un fumetto, un diario e un romanzo.","Marta, che aveva intenzione di rubare alcuni dei libri, riceverà una ricompensa se ha rubato il fumetto o il diario.","Ma quindi Marta ha rubato il fumetto o il diario, oppure no?","Sì, ha rubato il fumetto o il diario, ma non ricordo quale.",ma non ricordo quale.,or-no-no-25.mp3,0,3441,4191,8314,8314,6888,or-no-no-25-nocont.mp3,6788
or,or-no-wh,no,wh,25,Marta,a,"C'erano tre libri sullo scaffale: un fumetto, un diario e un romanzo.","Marta, che aveva intenzione di rubare alcuni dei libri, riceverà una ricompensa se ha rubato il fumetto o il diario.","Ma quindi Marta ha rubato il fumetto o il diario, oppure no?","Sì, ha rubato il fumetto o il diario, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-25.mp3,0,3441,4191,8311,8311,6885,or-no-wh-25-nocont.mp3,6785
or,or-wh-no,wh,no,25,Marta,d,"C'erano tre libri sullo scaffale: un fumetto, un diario e un romanzo.","Marta, che aveva intenzione di rubare alcuni dei libri, riceverà una ricompensa se ha rubato il fumetto.",Ma quindi Marta quali libri ha rubato?,"Ha rubato il fumetto o il diario, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-25.mp3,0,2352,3102,6714,6714,5288,or-wh-no-25-nocont.mp3,5188
or,or-wh-wh,wh,wh,25,Marta,c,"C'erano tre libri sullo scaffale: un fumetto, un diario e un romanzo.","Marta, che aveva intenzione di rubare alcuni dei libri, riceverà una ricompensa se ha rubato il fumetto.",Ma quindi Marta quali libri ha rubato?,"Ha rubato il fumetto o il diario, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-25.mp3,0,2352,3102,6711,6711,5285,or-wh-wh-25-nocont.mp3,5185
